Model,rmse,mae,mape,mbe,r2,direction_accuracy,Company
Extended RF,2.921112093645218,2.2093803445470908,1.228574628518512,-1.2046428419606412,0.9738876924187827,0.4594594594594595,rtx
Extended ANN,2.721428857641038,1.9578037297584858,1.0791263207727058,-0.5012253722094511,0.9773356755548043,0.4540540540540541,rtx
Sentiment Only (LR),2.6923760459300325,1.9366684948359323,1.0679495016992309,-0.16203773738075083,0.9778170018385804,0.5405405405405406,rtx
Hybrid RF+NSI,2.913427189965735,2.211076882981425,1.2299726088959733,-1.1087050545687034,0.9740249049588552,0.4864864864864865,rtx
Benchmark,12.225609546261499,8.65013401482695,3.1428451503489176,0.4228763375231015,0.9545023268786185,0.518918918918919,aerovironment
ARIMA,83.13935359332989,65.65195891677692,21.403554208229387,-60.22480749314831,-1.1040760375130185,0.5567567567567567,aerovironment
Existing RF,13.518657739998853,10.453197913567251,3.7738019411197596,-4.767986605178694,0.9443692020894207,0.5351351351351351,aerovironment
Extended RF,13.649955657954639,10.632738492234965,3.838531761898383,-4.401452413442981,0.943283343036208,0.5405405405405406,aerovironment
Extended ANN,13.559946871077374,9.007642455667954,3.299739715742582,1.3638497796663644,0.9440288643048047,0.4648648648648649,aerovironment
Sentiment Only (LR),12.250460057806647,8.676667297387175,3.1553225703790146,0.7926333491221219,0.9543171762649179,0.4810810810810811,aerovironment
Hybrid RF+NSI,13.15640169714492,9.998076667917704,3.6108771362703886,-3.036391183621241,0.9473107042912505,0.5405405405405406,aerovironment
Benchmark,0.6088856053401346,0.4380645008497341,5.999566922212994,-0.0014516128006801811,0.8987627104335009,0.5297297297297298,draganfly
ARIMA,9.030983950689846,8.348954416068866,117.00162462764607,-8.348954416068866,-21.270975294436933,0.5297297297297298,draganfly
Existing RF,0.6344450376307293,0.4511987084683135,6.19295077023992,0.046963002676068934,0.8900849643972888,0.4702702702702703,draganfly
Extended RF,0.7352987364729275,0.5570000678615963,7.690072349242941,-0.4149357948910488,0.8523624823049691,0.5297297297297298,draganfly
Extended ANN,1.3477649568382353,1.0219172135499166,14.012528634596666,0.7987784603858505,0.5039820245133886,0.4540540540540541,draganfly
Sentiment Only (LR),0.6084361673453089,0.43693304337384137,5.975311894322742,-0.01847666670754747,0.8989121082565514,0.5297297297297298,draganfly
Hybrid RF+NSI,0.7072275683254837,0.5289278159857062,7.266560221894598,-0.359187758988021,0.8634198899884516,0.5297297297297298,draganfly
Benchmark,3.8808267028469428,3.0049466368972597,1.6464055694209154,-0.0964516260290657,0.7192711837307987,0.4864864864864865,nvidia
ARIMA,38.54455723916262,37.417479986407535,20.422248096807703,-37.417479986407535,-26.69265640549975,0.4864864864864865,nvidia
Existing RF,6.1790265423050785,5.248043009375291,2.859415382121196,-4.483390354859175,0.28833006990013965,0.4702702702702703,nvidia
Extended RF,7.231842802539833,6.338085334601032,3.458797242075136,-5.912484268699568,0.025153022730009855,0.4918918918918919,nvidia
Extended ANN,3.8836774609090163,3.0000517480282864,1.64472682701376,0.12421265677080717,0.7188585995398498,0.5081081081081081,nvidia
Sentiment Only (LR),3.91725134802464,3.0136660747316655,1.6539672731716668,0.49282234192227153,0.7139767270135864,0.5135135135135135,nvidia
Hybrid RF+NSI,8.224268419761353,7.357338037169847,4.017790036109654,-7.19047226465337,-0.2607618156974978,0.4864864864864865,nvidia
Benchmark,2.719466086277121,1.45806457150367,6.529012228855283,-0.3444085851792366,0.9754389671500077,0.43783783783783786,axt
ARIMA,22.930656966958455,15.039301001256511,64.32806346380522,-14.990268714325403,-0.7462737533410331,0.4486486486486487,axt
Existing RF,2.818103383348341,1.5103746219161271,6.959185377957268,0.16969955429178293,0.9736249571284726,0.5081081081081081,axt
Extended RF,2.888491313135137,1.7137217002663356,8.813324643385503,-0.8520166392928166,0.9722909610523582,0.43243243243243246,axt
Extended ANN,8.043115909791117,3.78748486727769,11.591302097772587,-3.6889848017276354,0.7851536468267579,0.44324324324324327,axt
Sentiment Only (LR),2.7201692893943283,1.4584975139468073,6.5312447746573525,-0.3483703829811605,0.9754262634593979,0.43783783783783786,axt
Hybrid RF+NSI,2.820897856121735,1.6111759734906017,8.110160203583032,-0.30533462290330676,0.9735726234328453,0.44324324324324327,axt
Benchmark,0.639462536426182,0.4952150160266507,2.9524931811735997,-0.03618279323782971,0.8339456709016747,0.4648648648648649,maxlinear
ARIMA,3.347202626149761,2.991398170430174,17.076645423702306,-2.9565594939775375,-3.5497129550654627,0.4756756756756757,maxlinear
Existing RF,0.6521010085613586,0.4980934487518756,2.976576970038448,-0.0008957809907007671,0.8273169406852224,0.5459459459459459,maxlinear
Extended RF,0.7881393311372971,0.5805244323315583,3.404981394988201,-0.18871148456760384,0.7477530101611392,0.5081081081081081,maxlinear
Extended ANN,0.6413472385909911,0.4994242337968588,2.974596146362605,-0.05684080094386081,0.8329653971967658,0.4648648648648649,maxlinear
Sentiment Only (LR),0.6395740398539718,0.49538936088949687,2.953192200694239,-0.03875314144738069,0.8338877558867084,0.4648648648648649,maxlinear
Hybrid RF+NSI,0.6998456335346881,0.5338868303581599,3.154322627532808,-0.14770349830897006,0.8011047071755706,0.5243243243243243,maxlinear
