Model,rmse,mae,mape,mbe,r2,direction_accuracy,Company
Existing RF,312968.32452299015,285666.5,51.57861377809684,-285666.5,-5.180938996235008,0.5112359550561798,lig_nex1
Extended RF,313472.76815114164,287685.7011173184,52.09670486298524,-287685.7011173184,-5.200879979386205,0.5112359550561798,lig_nex1
Extended ANN,54131.48194736519,44828.76466480447,8.366009956072837,-37599.79888268156,0.8150929281755185,0.5224719101123596,lig_nex1
Benchmark,2019.617475811534,1540.782122905028,2.837316731940569,-12.849162011173185,0.9301704321122374,0.5337078651685393,snt_dynamics
ARIMA,26332.309184568105,24992.205093210934,45.065415248339306,-24992.205093210934,-10.870773161825792,0.5337078651685393,snt_dynamics
Existing RF,28130.557785896646,27077.17597765363,49.135562020304945,-27077.17597765363,-12.54745764424562,0.5337078651685393,snt_dynamics
Extended RF,28544.5713580536,27535.602513966478,50.02445588040397,-27535.602513966478,-12.94916354511447,0.5337078651685393,snt_dynamics
Extended ANN,4723.595452294198,4046.1617056564246,7.439431476799263,-3792.262438896648,0.6180148266622576,0.5393258426966292,snt_dynamics
Benchmark,386.7120477372906,201.9943820224719,3.3235532541116295,-42.2752808988764,0.9468784836036714,0.5819209039548022,firstec
ARIMA,2377.787180145091,1684.7146533789614,27.918738408496978,-1684.7146533789614,-1.0083574953069578,0.5819209039548022,firstec
Existing RF,1788.789933975831,901.3766853932585,12.305303679502723,-850.5747191011237,-0.13661594335814997,0.576271186440678,firstec
Extended RF,1592.9972425697954,758.8310393258427,10.075051838808724,-707.5990168539327,0.09858432249998705,0.576271186440678,firstec
Extended ANN,551.5671638979766,257.6515893829003,3.9301721674283168,-186.43932968311094,0.891933305817963,0.5932203389830508,firstec
Benchmark,2.699527807532758,1.9412905785345256,1.0701673157025677,-0.26430109495757714,0.9776989958694571,0.4594594594594595,rtx
ARIMA,56.08630081600067,53.09327976678007,28.963627361148458,-53.09327976678007,-8.626366695903734,0.4594594594594595,rtx
Existing RF,56.56658048742115,53.58395231308475,29.238055471750695,-53.58395231308475,-8.791938094056686,0.4594594594594595,rtx
Extended RF,57.74520923290189,54.80838206260435,29.927030224449812,-54.80838206260435,-9.204241441146333,0.4594594594594595,rtx
Extended ANN,4.147069948252089,3.0974130117765037,1.7069498047808809,1.2662091819188934,0.9473702231633836,0.5513513513513514,rtx
Benchmark,12.225609546261499,8.65013401482695,3.1428451503489176,0.4228763375231015,0.9545023268786185,0.518918918918919,aerovironment
ARIMA,83.13935359332989,65.65195891677692,21.403554208229387,-60.22480749314831,-1.1040760375130185,0.5567567567567567,aerovironment
Existing RF,96.93881149947715,79.54657534240395,26.059023307189072,-79.32775534886186,-1.8605103595971668,0.5297297297297298,aerovironment
Extended RF,90.8094661568947,73.01834114197761,23.704413037497616,-72.55743081082579,-1.5102119253179618,0.5459459459459459,aerovironment
Extended ANN,22.610493676658674,18.04802055769069,6.58654595858164,9.620379540228074,0.8443789888175218,0.40540540540540543,aerovironment
