Model,rmse,mae,mape,mbe,r2,direction_accuracy,Company
ARIMA,246440.49152592485,164118.3368869936,50.131424086904794,-164067.37739872068,-0.7960447834229272,0.4973319103521878,lig_nex1
Existing RF,18555.98202417914,9838.347030818572,3.6426246389124866,-7191.0404630410685,0.9898173476878781,0.5080042689434365,lig_nex1
Extended RF,17978.495517690935,10182.78467171882,4.231589645816715,-7979.81924619005,0.9904412804215831,0.4973319103521878,lig_nex1
Extended ANN,21670.26168138197,8927.803676964631,2.8429600251698397,2182.193498647035,0.9861125873546535,0.49626467449306294,lig_nex1
Sentiment Only (LR),15241.048300617678,6951.141611950103,2.529499006528104,38.35003997189692,0.9931305382835779,0.5112059765208111,lig_nex1
Hybrid RF+NSI,16900.560590161833,9273.705116230125,3.900700638300959,-6222.159729806223,0.9915531409084207,0.4994663820704376,lig_nex1
Benchmark,1108.1397454385708,656.6879659211928,2.4492650793379807,-47.784877529286476,0.9960138795111815,0.5085287846481876,snt_dynamics
ARIMA,23612.914748828538,15953.011228682644,46.300296636595235,-15878.766551700444,-0.8099249068188477,0.5202558635394456,snt_dynamics
Existing RF,1163.6226435555022,708.9594094789992,2.672208779479572,25.565718393311457,0.9956047287142199,0.4914712153518124,snt_dynamics
Extended RF,1225.5252762935947,746.8283302044752,2.9063475018203007,-427.98200185627593,0.9951246488206946,0.5085287846481876,snt_dynamics
Extended ANN,5908.600451861719,3736.173229875148,10.33143013602697,-3539.617350087506,0.8866737273442771,0.511727078891258,snt_dynamics
Sentiment Only (LR),1108.0994578188154,656.7245212108878,2.4494785957482184,-46.55429985848893,0.9960141693453617,0.4914712153518124,snt_dynamics
Hybrid RF+NSI,1135.2232689190625,692.4089744145192,2.7105922557860844,-214.24132823106615,0.9958166526433471,0.5106609808102346,snt_dynamics
Benchmark,198.39022013753444,99.81895633652822,2.3647575614381755,-7.4973375931842385,0.964312246826595,0.5341151385927505,firstec
ARIMA,1050.4039756301695,640.2694581238827,15.582886878758783,20.953180962429517,-0.00044081547516938713,0.535181236673774,firstec
Existing RF,202.4634389356145,106.24076105959092,2.521914041992343,-29.775287111279486,0.9628317677308693,0.5,firstec
Extended RF,209.12320419153085,111.86971942402518,2.6610920115283903,-58.45693822756014,0.9603463529212369,0.5319829424307037,firstec
Extended ANN,231.03105584730864,124.09297522962791,2.907162584701299,-62.5639719697741,0.9516028916847816,0.5298507462686567,firstec
Sentiment Only (LR),198.0514214008535,101.20832197407523,2.4027792937656707,4.277237776407194,0.9644340334910213,0.46588486140724944,firstec
Hybrid RF+NSI,205.07828550745148,110.04738128492335,2.62449588627682,-52.090172236760644,0.9618655011084555,0.5298507462686567,firstec
